Losing Team,Full Time Home Goals,Half  Time Home Goals,Home Shots,Home Shots on Target,Home Hit Woodwork,Home Corners,Home Fouls Committed,Home Offsides,Home Yellow Cards,Home Red Cards
Blackburn,1,0,10,4,0,3,13,2,0,0
West Ham,1,0,5,4,0,4,10,4,1,1
Derby,0,0,3,2,0,0,13,6,2,0
Leeds,0,0,6,4,0,6,22,6,2,0
Fulham,0,0,7,3,0,5,11,1,2,0
Leicester,0,0,3,0,0,3,21,1,2,0
West Ham,0,0,11,4,0,2,13,1,3,0
Tottenham,0,0,7,3,0,6,8,7,2,0
Sunderland,1,1,6,3,0,2,11,2,3,0
Bolton,2,2,10,6,0,6,9,2,0,0
Blackburn,0,0,14,2,1,8,20,1,3,0
West Ham,0,0,9,2,0,10,12,4,3,0
Blackburn,0,0,10,6,2,2,15,1,2,1
Southampton,1,1,11,4,0,4,8,3,1,0
Leicester,1,0,7,6,0,8,9,5,1,0
Fulham,1,0,10,5,0,10,14,3,2,0
Fulham,1,1,6,5,0,5,14,1,1,0
Aston Villa,0,0,4,2,0,2,9,4,0,0
Middlesbrough,0,0,7,4,0,3,11,1,5,1
West Ham,1,1,4,3,0,4,19,1,1,0
Chelsea,1,0,4,2,0,4,13,2,1,0
Leicester,0,0,6,1,0,6,15,3,4,0
Sunderland,1,1,7,2,0,5,8,2,1,0
Derby,0,0,0,0,0,1,16,2,2,0
Aston Villa,0,0,6,4,0,5,15,5,2,0
Bolton,0,0,10,4,0,7,14,4,1,0
Fulham,2,1,12,6,1,5,12,3,0,0
Ipswich,0,0,9,3,0,5,15,2,3,0
Newcastle,0,0,11,2,0,6,13,1,0,0
Tottenham,0,0,7,2,0,3,13,1,3,1
Everton,0,0,6,2,0,3,13,0,2,0
Ipswich,1,0,6,3,0,2,17,8,2,0
Tottenham,0,0,5,0,0,3,14,5,3,1
Sunderland,0,0,8,3,0,3,13,7,2,0
Fulham,1,0,11,5,1,11,15,3,4,0
Blackburn,1,0,15,8,0,4,16,0,1,0
Chelsea,0,0,10,1,0,3,13,1,1,0
Everton,2,2,7,4,0,1,8,0,3,0
Sunderland,0,0,13,5,0,4,17,6,3,0
Aston Villa,2,2,9,3,0,5,13,3,1,0
Derby,1,0,2,1,0,3,10,9,4,0
Blackburn,1,0,12,4,1,6,24,0,1,0
Charlton,0,0,6,1,0,6,10,8,2,0
Ipswich,1,0,12,5,0,4,13,2,2,0
Southampton,0,0,5,2,0,2,13,4,1,0
Bolton,1,0,12,3,2,5,11,1,1,1
Leicester,1,1,9,7,0,1,11,5,2,0
Leeds,1,0,17,8,0,7,12,1,0,0
Tottenham,1,0,2,2,0,1,17,5,4,0
Ipswich,1,0,9,4,0,8,11,1,0,0
Everton,0,0,12,6,1,8,10,3,1,0
Aston Villa,1,0,12,9,0,8,15,6,0,0
Derby,0,0,8,3,1,6,9,1,0,0
Charlton,0,0,18,8,3,13,9,2,4,0
Sunderland,0,0,8,0,0,4,14,2,1,0
Derby,0,0,4,1,0,4,16,3,3,0
Charlton,0,0,4,1,0,7,9,2,2,0
Sunderland,0,0,10,5,0,6,9,2,2,0
Ipswich,0,0,7,2,1,2,9,0,0,0
Bolton,0,0,7,2,3,6,9,5,0,0
West Ham,0,0,5,1,0,2,13,4,2,0
Middlesbrough,0,0,13,4,0,5,13,2,2,0
Southampton,1,0,7,3,1,1,8,7,1,0
West Ham,1,1,11,5,0,2,8,4,2,0
Liverpool,0,0,11,7,1,8,11,2,1,0
Blackburn,3,1,9,7,0,7,12,3,1,0
Everton,3,2,14,6,1,3,5,3,0,0
Fulham,0,0,6,2,1,7,7,0,0,0
Middlesbrough,0,0,7,3,0,8,15,3,0,0
Tottenham,1,0,13,6,0,9,6,1,0,0
Ipswich,0,0,7,2,1,7,5,2,0,0
Newcastle,1,0,16,8,0,6,11,5,1,0
Bolton,1,0,10,4,0,5,13,6,1,0
Coventry,1,1,6,3,0,8,15,1,5,1
Southampton,1,0,12,4,0,6,18,0,5,0
West Ham,0,0,17,12,1,11,16,3,3,1
Man City,1,0,14,5,1,5,7,3,2,0
Middlesbrough,1,0,15,8,0,4,12,4,2,0
Leeds,1,0,6,1,1,9,18,2,2,0
Coventry,0,0,13,3,1,6,11,10,1,0
Ipswich,1,0,15,5,0,5,9,4,1,0
Middlesbrough,1,1,9,5,0,7,16,6,3,0
Everton,1,0,6,4,0,6,10,12,4,0
Leeds,1,1,11,6,0,6,12,6,1,0
Chelsea,0,0,16,10,1,15,16,1,3,0
Bradford,0,0,14,6,0,7,14,5,3,0
Coventry,0,0,9,2,1,5,12,0,0,0
Newcastle,0,0,12,5,0,4,14,3,1,0
Everton,0,0,7,3,0,4,6,2,1,0
Man City,0,0,9,7,0,10,16,7,0,0
Southampton,1,0,16,8,2,6,6,5,2,0
Leicester,0,0,10,4,0,6,8,3,0,0
Derby,0,0,6,0,0,4,18,5,1,0
Middlesbrough,1,0,8,2,0,6,8,4,2,0
Bradford,0,0,7,3,0,9,15,6,1,0
Newcastle,0,0,11,4,0,5,9,3,1,0
West Ham,1,0,11,3,0,5,15,5,1,0
Southampton,0,0,19,6,0,9,10,2,1,0
Coventry,1,0,4,2,0,3,17,4,1,0
Man City,0,0,14,3,0,9,12,0,1,0
Middlesbrough,0,0,4,3,0,5,10,3,1,1
Everton,0,0,14,6,0,6,17,1,3,0
Bradford,0,0,11,6,1,3,8,3,1,0
Leeds,0,0,15,6,0,2,14,0,1,0
Man City,0,0,10,4,0,10,13,2,3,0
Middlesbrough,0,0,11,4,1,6,8,3,3,0
Newcastle,1,1,19,9,2,1,17,10,1,0
Coventry,0,0,12,5,1,5,10,6,1,0
Charlton,0,0,10,2,0,7,16,7,0,0
Derby,0,0,1,0,0,3,12,3,2,0
Man City,2,0,9,4,0,6,8,7,0,0
Southampton,2,1,10,5,0,6,12,2,1,0
Ipswich,0,0,11,5,0,6,13,1,1,0
Liverpool,0,0,14,5,2,8,12,3,1,0
Man United,0,0,6,4,0,9,10,2,1,1
Leeds,1,0,15,5,0,10,18,3,1,0
Aston Villa,0,0,6,3,0,2,15,4,1,0
Bradford,1,0,11,3,0,9,17,8,2,0
Everton,1,0,17,9,0,5,14,1,2,0
Man City,1,0,8,1,0,7,11,2,1,0
Leicester,1,1,9,3,0,5,11,4,0,0
Aston Villa,0,0,5,1,0,1,7,3,2,0
Bradford,0,0,9,3,0,1,11,8,1,0
Man City,0,0,5,3,0,4,23,4,5,0
West Ham,0,0,13,6,1,9,20,9,4,0
Coventry,1,0,9,5,0,15,9,1,0,0
Leeds,1,1,12,5,0,16,12,2,2,0
Aston Villa,1,1,12,4,3,5,11,1,2,0
Sunderland,0,0,9,2,0,3,15,5,2,2
Bradford,0,0,9,2,0,3,14,3,2,0
Coventry,0,0,12,4,0,3,13,2,3,0
Ipswich,1,0,11,6,0,3,10,0,1,1
Man City,0,0,11,4,1,7,17,2,1,0
Bradford,1,0,15,5,0,7,9,4,1,0
Middlesbrough,0,0,11,6,1,3,9,4,1,0
Newcastle,0,0,10,3,0,5,18,4,1,0
Tottenham,1,1,13,4,1,5,16,4,2,0
Man City,0,0,15,7,0,5,15,1,1,0
West Ham,0,0,7,2,1,1,12,3,2,0
Charlton,1,1,7,3,0,2,19,1,3,0
Chelsea,2,2,14,6,1,4,15,11,0,0
Newcastle,1,0,16,5,1,5,14,6,0,0
West Ham,0,0,5,2,0,4,14,5,0,0
Man City,1,1,12,6,1,9,18,2,6,1
Sunderland,0,0,14,8,0,8,17,2,2,0
West Ham,0,0,17,6,0,8,16,4,3,1
Southampton,0,0,11,3,1,6,17,5,2,0
Derby,0,0,3,2,1,1,13,4,1,0
Leicester,1,1,9,4,0,4,9,2,3,0
Man City,0,0,7,2,0,7,10,5,2,0
Liverpool,1,0,11,5,0,8,19,0,3,1
Arsenal,0,0,17,8,0,9,13,0,1,0
Leicester,1,1,15,9,0,5,13,4,2,0
Sunderland,2,2,13,4,0,3,12,5,1,0
Everton,2,1,10,7,0,2,19,2,4,1
Middlesbrough,1,1,4,1,0,5,8,5,0,0
Tottenham,0,0,5,1,0,2,14,3,2,1
Chelsea,0,0,9,1,0,10,12,0,3,0
Leicester,0,0,15,4,1,12,13,3,3,0
West Ham,0,0,15,10,0,6,17,0,5,0
Coventry,0,0,11,4,0,7,15,3,3,0
Derby,1,1,6,2,0,4,14,1,3,0
Middlesbrough,0,0,18,3,1,4,13,7,2,0
Southampton,0,0,11,5,0,11,15,7,2,0
Bradford,0,0,15,4,0,7,11,3,0,0
Man United,0,0,11,6,0,13,13,2,1,0
Charlton,0,0,12,10,1,10,7,1,1,0
Man City,1,1,3,1,0,8,22,2,4,0
Charlton,1,0,8,4,0,4,15,2,0,0
Leicester,0,0,6,1,0,3,21,4,4,0
Middlesbrough,0,0,6,2,0,2,13,4,2,1
Arsenal,1,1,14,5,0,10,28,2,4,0
Ipswich,0,0,17,11,0,6,22,0,2,0
Southampton,0,0,8,2,0,6,13,6,0,0
Liverpool,1,0,12,7,0,7,19,1,3,1
Middlesbrough,1,1,8,4,0,3,15,4,1,1
Bolton,0,0,4,0,2,3,11,4,1,0
Derby,2,1,15,9,0,8,16,1,5,0
Everton,1,1,11,5,0,4,16,0,0,0
Fulham,1,0,6,3,0,4,18,3,3,0
Charlton,0,0,9,4,0,8,13,2,2,1
Tottenham,2,0,11,4,1,6,10,1,1,0
Leicester,1,1,10,5,0,4,19,4,0,0
Sunderland,1,0,14,8,0,11,9,4,1,0
Southampton,1,1,12,4,0,2,15,0,1,1
Bolton,0,0,15,8,0,8,10,5,1,0
Derby,0,0,7,5,0,2,18,4,3,0
Middlesbrough,1,0,5,3,1,6,16,4,0,0
Tottenham,3,3,7,3,0,4,16,3,3,0
Ipswich,1,1,11,6,1,10,8,0,0,0
Newcastle,0,0,7,3,0,7,14,3,1,0
Bolton,0,0,9,3,0,7,10,2,2,1
Southampton,0,0,3,0,0,1,15,2,2,1
Sunderland,1,0,15,7,1,3,12,1,0,0
Leicester,1,0,8,3,0,6,11,1,1,0
Man United,1,1,13,6,0,8,11,4,0,0
Newcastle,0,0,8,3,0,7,16,6,2,0
Charlton,0,0,14,4,0,13,12,2,0,0
Everton,1,0,18,8,0,13,8,3,1,0
Ipswich,2,0,12,8,0,8,16,1,2,0
Southampton,1,1,16,6,1,10,19,3,1,0
West Ham,0,0,12,6,1,10,13,3,1,0
Arsenal,2,1,26,12,2,4,9,2,3,0
Ipswich,1,1,8,4,2,12,8,2,0,0
West Ham,0,0,10,6,0,4,18,1,2,0
Aston Villa,0,0,11,7,0,7,8,0,0,1
Blackburn,0,0,14,4,1,7,8,5,1,0
Derby,0,0,12,4,0,5,9,5,1,0
Ipswich,0,0,7,2,0,12,4,0,0,0
Man United,0,0,12,5,0,7,9,5,2,0
Chelsea,0,0,20,5,0,8,13,1,1,0
Leicester,0,0,8,4,0,5,13,3,1,0
Man United,0,0,17,6,0,12,18,0,5,0
Blackburn,1,0,14,6,2,8,15,2,1,0
Ipswich,0,0,9,5,0,8,3,1,3,0
Middlesbrough,0,0,6,3,0,5,11,1,2,0
Arsenal,1,1,19,8,0,4,10,6,3,1
Charlton,0,0,10,2,0,4,16,4,2,0
Leeds,3,1,15,6,0,2,19,0,2,0
Tottenham,1,1,12,6,1,9,22,4,1,1
Liverpool,1,0,15,2,1,6,12,2,1,0
Aston Villa,1,1,10,5,1,7,10,6,1,0
Blackburn,0,0,7,3,0,3,24,3,1,1
Bolton,0,0,17,2,0,11,15,1,1,0
Everton,0,0,10,5,0,4,11,1,0,0
Blackburn,0,0,16,5,0,13,13,5,2,0
Everton,0,0,7,3,0,3,16,0,1,0
Newcastle,1,1,10,7,0,5,11,6,0,0
Southampton,0,0,12,6,0,3,17,0,1,0
Fulham,2,1,17,9,2,4,14,1,0,0
Chelsea,2,2,13,6,0,2,14,2,2,0
Derby,0,0,10,0,0,10,17,6,1,0
Southampton,1,1,12,4,2,8,11,3,1,0
Derby,1,0,13,5,0,3,7,5,0,0
Charlton,1,0,9,5,0,3,7,7,1,0
Man United,0,0,12,3,0,11,15,0,1,0
Leicester,1,0,3,2,0,7,12,2,2,0
Bolton,0,0,15,4,0,1,10,1,0,0
Sunderland,0,0,18,8,0,15,12,3,0,0
Blackburn,2,2,10,4,0,6,18,2,2,0
Tottenham,1,1,8,6,0,5,8,1,1,0
Everton,1,1,9,4,0,2,19,3,1,0
Leicester,2,1,16,9,0,6,16,3,1,0
Leeds,0,0,13,5,0,7,14,2,2,0
Derby,0,0,9,4,1,7,13,1,0,0
Ipswich,0,0,4,2,0,7,2,2,0,0
Charlton,0,0,9,1,0,7,8,1,0,0
Everton,0,0,6,2,1,1,17,3,0,0
Leicester,0,0,6,3,0,8,16,1,4,0
Sunderland,0,0,11,4,0,5,19,1,3,0
Fulham,0,0,11,5,1,8,13,0,3,0
Ipswich,1,0,8,4,0,4,9,1,0,0
Newcastle,0,0,13,6,0,5,17,3,0,0
Bolton,1,0,6,2,0,7,13,3,0,1
Middlesbrough,1,0,15,5,0,7,10,3,0,0
West Ham,3,2,10,3,0,3,13,1,2,0
Aston Villa,1,1,8,3,0,10,10,0,1,0
Tottenham,0,0,13,5,1,4,5,0,1,0
Charlton,1,0,6,4,0,4,15,5,1,0
Derby,3,0,12,4,0,8,12,6,2,0
Leicester,0,0,11,5,2,8,12,0,2,0
Man United,0,0,18,4,0,6,9,3,4,0
Fulham,0,0,9,3,0,4,16,1,2,0
Leeds,3,1,16,11,0,2,10,3,1,0
Charlton,0,0,5,5,0,9,7,3,2,0
Derby,0,0,7,4,0,7,14,2,1,0
Fulham,0,0,10,2,0,7,10,3,1,0
Leicester,0,0,13,3,0,4,13,1,1,0
Aston Villa,0,0,10,5,0,7,16,2,2,0
Derby,2,0,6,2,0,6,13,2,3,0
Sunderland,0,0,10,5,0,4,10,2,1,1
Chelsea,0,0,7,2,0,12,9,3,4,0
Leeds,0,0,9,4,0,1,12,4,2,0
Middlesbrough,1,0,8,2,0,7,15,3,3,1
Southampton,0,0,6,0,1,1,13,4,2,0
Derby,0,0,9,1,0,5,12,3,2,0
Ipswich,0,0,12,4,0,5,11,3,2,0
Middlesbrough,0,0,10,2,0,4,11,7,3,0
Everton,1,0,10,4,0,9,12,3,2,0
Bolton,0,0,7,1,1,7,10,2,0,0
Man United,0,0,9,3,0,6,21,1,4,0
Chelsea,1,0,15,6,0,7,14,7,0,0
